cluster,state,district,date_announced,date_last_onset,category,status,cases_new,cases_total,cases_active,tests,icu,deaths,recovered,summary_bm,summary_en
KLUSTER SERI SETIA,"Selangor,W.P. Kuala Lumpur,W.P. Putrajaya","PETALING, GOMBAK & TITIWANGSA",10/2/2020,22/10/2020,community,ended,0,8,0,184,0,0,8,,
KLUSTER SERIDANA,W.P. Putrajaya,PUTRAJAYA,11/2/2020,13/11/2020,workplace,ended,0,20,0,127,0,0,20,,
KLUSTER TENAGA,W.P. Labuan,LABUAN,11/2/2020,23/11/2020,community,ended,0,121,0,251,0,1,120,,
KLUSTER PTS TAWAU,Sabah,TAWAU,11/2/2020,29/11/2020,detentionCentre,ended,0,766,0,2613,0,3,763,,
KLUSTER GEDONG," Johor,Negeri Sembilan,Selangor,W.P. Kuala Lumpur,W.P. Putrajaya","SEREMBAN, PORT DICKSON, KUALA PILAH, TAMPIN, REMBAU, PETALING, GOMBAK, KLANG, HULU LANGAT, JOHOR BAHRU, CHERAS, LEMBAH PANTAI & PUTRAJAYA",11/2/2020,30/11/2020,education,ended,0,73,0,812,0,1,72,,
KLUSTER SERI WANGSA,W.P. Kuala Lumpur,TITIWANGSA,12/2/2020,12/4/2020,workplace,ended,0,11,0,154,0,0,11,,
KLUSTER BALOI,Johor,"JOHOR BAHRU, PONTIAN, BATU PAHAT, KULAI & TANGKAK",12/2/2020,12/11/2020,education,ended,0,42,0,369,0,0,42,,
KLUSTER JERNAI,W.P. Kuala Lumpur,TITIWANGSA & KEPONG,12/2/2020,14/12/2020,community,ended,0,69,0,1235,0,0,69,,
KLUSTER IMPIAN,Selangor,GOMBAK & PETALING,12/2/2020,18/12/2020,highRisk,ended,0,17,0,234,0,0,17,,
KLUSTER DESA PINANG,"Selangor,W.P. Kuala Lumpur","KEPONG, LEMBAH PANTAI, TITIWANGSA, CHERAS & GOMBAK",12/2/2020,28/12/2020,workplace,ended,0,104,0,308,0,0,104,,
KLUSTER TAPAK PEMBINAAN KUALA LUMPUR,W.P. Kuala Lumpur,TITIWANGSA,5/3/2020,26/4/2020,workplace,ended,0,31,0,488,0,0,31,,
KLUSTER BAH ROSE,"Kedah,Pulau Pinang",KUALA MUDA & SEBERANG PERAI UTARA,10/3/2020,14/10/2020,community,ended,0,11,0,563,0,0,11,,
KLUSTER BAH LUNAS,Kedah,KULIM & BALING,10/3/2020,16/11/2020,community,ended,0,5,0,161,0,0,5,,
KLUSTER JELOK,"Selangor,W.P. Kuala Lumpur","KEPONG, HULU LANGAT & PETALING",10/3/2020,10/12/2020,community,ended,0,5,0,31,0,0,5,,
KLUSTER PERMATANG,"Kedah,Pulau Pinang,Perak,Perlis","KULIM, LANGKAWI, KOTA SETAR, KUALA MUDA, BANDAR BAHARU, SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN, TIMUR LAUT, KINTA & KANGAR",11/3/2020,22/11/2020,highRisk,ended,0,85,0,2077,0,1,84,,
KLUSTER CERGAS,"Kelantan,Negeri Sembilan,Selangor","KLANG, SEREMBAN, REMBAU. PORT DICKSON, JEMPOL, PASIR PUTIH & KUALA PILAH",11/3/2020,14/1/2021,workplace,ended,0,1738,0,6048,0,1,1737,,
KLUSTER MONSOON,Selangor,PETALING,12/3/2020,12/6/2020,community,ended,0,20,0,106,0,0,20,,
KLUSTER JALAN KILANG,Sabah,LAHAD DATU,12/3/2020,12/11/2020,workplace,ended,0,27,0,114,0,0,27,,
KLUSTER JALAN KUBOTA,Sabah,TAWAU,12/3/2020,12/12/2020,highRisk,ended,0,22,0,72,0,0,22,,
KLUSTER PERDANA ENAM,Sabah,LAHAD DATU,12/3/2020,23/12/2020,workplace,ended,0,51,0,269,0,0,51,,
KLUSTER HUJUNG PASIR,W.P. Labuan,LABUAN,12/3/2020,29/1/2021,workplace,ended,0,85,0,893,0,0,85,,
KLUSTER KEAGAMAAN (TABLIGH SRI PETALING),Malaysia,PELBAGAI,13/3/2020,3/11/2020,religious,ended,0,2022,0,42023,0,34,1988,,
KLUSTER TABLIGH NEW DELHI," Negeri Sembilan, Selangor,W.P. Kuala Lumpur,W.P. Putrajaya",PELBAGAI,16/3/2020,20/3/2020,import,ended,0,24,0,57,0,0,24,,
KLUSTER AIROD,Pahang,KUANTAN,31/3/2020,31/3/2020,workplace,ended,0,65,0,734,0,0,65,,
KLUSTER UDA," Johor,Negeri Sembilan,Selangor,W.P. Kuala Lumpur,W.P. Putrajaya",PELBAGAI,3/4/2020,3/1/2020,import,ended,0,144,0,1864,0,2,142,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR BORONG KL,"Negeri Sembilan, Pahang, W.P. Kuala Lumpur","KEPONG, GOMBAK, PETALING, JEMPOL, SEREMBAN, BENTONG, BERA & RAUB",5/4/2020,4/1/2020,religious,ended,0,204,0,16267,0,1,203,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER DI KUCHING,Sarawak,"KUCHING, SAMARAHAN & SIMUNJAN",5/4/2020,18/3/2020,religious,ended,0,41,0,1034,0,2,39,,
KLUSTER DTI SEMENYIH 2," Negeri Sembilan,Selangor",HULU LANGAT & SEREMBAN,9/4/2020,9/3/2020,detentionCentre,ended,0,3,0,356,0,1,2,,
KLUSTER EMBUN,Selangor,HULU LANGAT & GOMBAK,10/4/2020,10/6/2020,community,ended,0,7,0,247,0,0,7,,
KLUSTER KAU SING,Sabah,TAWAU,10/4/2020,19/10/2020,community,ended,0,16,0,52,0,0,16,,
KLUSTER AERO,Selangor,PETALING,11/4/2020,11/6/2020,workplace,ended,0,31,0,167,0,0,31,,
KLUSTER GADING,"Johor,Negeri Sembilan,Selangor,W.P. Putrajaya","PUTRAJAYA, SEREMBAN, SEGAMAT, BATU PAHAT, KUALA LANGAT, PETALING & SEPANG",11/4/2020,12/6/2020,workplace,ended,0,13,0,86,0,0,13,,
KLUSTER LENGKUK," Negeri Sembilan,Selangor","SEPANG, SEREMBAN, PORT DICKSON, REMBAU, JELEBU, HULU LANGAT, PETALING, KUALA LANGAT &  KUALA PILAH",11/4/2020,12/9/2020,workplace,ended,0,299,0,1971,0,1,298,,
KLUSTER SEPANGGAR,Sabah,KOTA KINABALU,11/4/2020,16/11/2020,workplace,ended,0,10,0,128,0,0,10,,
KLUSTER PENJARA SANDAKAN,Sabah,SANDAKAN,11/4/2020,27/12/2020,detentionCentre,ended,0,810,0,2104,0,1,809,,
KLUSTER DIALISIS,Sabah, LAHAD DATU,11/4/2020,29/12/2020,highRisk,ended,0,78,0,182,0,0,78,,
KLUSTER BUKIT DALAM,W.P. Kuala Lumpur,LEMBAH PANTAI,12/4/2020,12/3/2020,community,ended,0,13,0,59,0,0,13,,
KLUSTER SUNGAI CINCIN,"Johor,Perak,Selangor","BATANG PADANG, SEGAMAT & KLANG",12/4/2020,12/5/2020,community,ended,0,16,0,113,0,0,16,,
KLUSTER CEMPAKA,"Johor,Melaka","PONTIAN, KULAI, KLUANG & ALOR GAJAH",12/4/2020,12/9/2020,highRisk,ended,0,24,0,352,0,1,23,,
KLUSTER TAPAK BINA GALERI,"Selangor,W.P. Kuala Lumpur",LEMBAH PANTAI & CHERAS,12/4/2020,12/10/2020,workplace,ended,0,29,0,247,0,0,29,,
KLUSTER ATABARA,Pahang,KUANTAN & PEKAN,12/4/2020,14/12/2020,community,ended,0,7,0,280,0,0,7,,
KLUSTER HUMA,Kelantan,PASIR PUTEH & KOTA BHARU,12/4/2020,16/12/2020,education,ended,0,74,0,597,0,0,74,,
KLUSTER TAPAK BINA MUDA," Negeri Sembilan,Perak,Selangor,W.P. Kuala Lumpur,W.P. Putrajaya","KEPONG, TITIWANGSA, LEMBAH PANTAI, PETALING, SEPANG, CHERAS, HULU LANGAT, GOMBAK, KLANG, KINTA, PUTRAJAYA & SEREMBAN",12/4/2020,3/5/2021,workplace,ended,0,2323,0,5806,0,0,2323,,
KLUSTER JALAN GENTING," Pahang,W.P. Kuala Lumpur","TITIWANGSA, LEMBAH PANTAI & BENTONG",12/4/2020,1/12/2021,workplace,ended,0,465,0,1184,0,0,465,,
KLUSTER PUI BALI," Kelantan,Pahang",TUMPAT & KUANTAN,13/4/2020,24/3/2020,import,ended,0,43,0,4211,0,4,39,,
KLUSTER BANDAR BARU SRI SENDAYAN,Negeri Sembilan,SEREMBAN,14/4/2020,4/12/2020,religious,ended,0,112,0,492,0,1,111,,
"KLUSTER TABLIGH MAKASAR (JOHOR), INDONESIA",Johor,JOHOR BAHRU,16/4/2020,15/3/2020,import,ended,0,27,0,52,0,1,26,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER FLAT PKNS,W.P. Kuala Lumpur,TITIWANGSA,16/4/2020,16/3/2020,religious,ended,0,37,0,979,0,1,36,,
"KLUSTER HPSF, MUAR",Johor,MUAR,16/4/2020,22/3/2020,highRisk,ended,0,24,0,1018,0,7,17,,
KLUSTER WARGA EMAS,Selangor,KLANG & PETALING,16/4/2020,22/3/2020,highRisk,ended,0,36,0,242,0,5,31,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASIR GUDANG EDIBLE OIL (PGEO),Johor,JOHOR BAHRU,16/4/2020,22/3/2020,religious,ended,0,15,0,553,0,1,14,,
KLUSTER IJN," Negeri Sembilan, Selangor,W.P. Kuala Lumpur,W.P. Putrajaya",PELBAGAI,16/4/2020,25/3/2020,highRisk,ended,0,20,0,717,0,2,18,,
KLUSTER ISTANA NEGARA," Pahang,W.P. Kuala Lumpur","KEPONG, TITIWANGSA & KUANTAN",16/4/2020,26/3/2020,workplace,ended,0,22,0,577,0,0,22,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MALAYAN MANSION,W.P. Kuala Lumpur,LEMBAH PANTAI,16/4/2020,26/3/2020,religious,ended,0,13,0,745,0,0,13,,
"KLUSTER TABLIGH MAKASAR, INDONESIA",Sabah,PELBAGAI,16/4/2020,30/3/2020,import,ended,0,7,0,24,0,1,6,,
KLUSTER PAKISTAN,Sabah,TAWAU,16/4/2020,13/4/2020,community,ended,0,6,0,12,0,0,6,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER SELANGOR MANSION,W.P. Kuala Lumpur,LEMBAH PANTAI,16/4/2020,4/5/2020,religious,ended,0,179,0,970,0,0,179,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PEKAN,Pahang,"PEKAN, KUANTAN, TEMERLOH & MARAN",17/4/2020,15/3/2020,religious,ended,0,22,0,490,0,0,22,,
KLUSTER HOSPITAL SUNGAI BULOH,Selangor,GOMBAK,17/4/2020,23/3/2020,highRisk,ended,0,18,0,354,0,0,18,,
KLUSTER HOSPITAL UMUM SARAWAK,Sarawak,KUCHING,17/4/2020,31/3/2020,highRisk,ended,0,68,0,4849,0,0,68,,
KLUSTER PETUGAS KESIHATAN SABAH,Sabah,"KOTA KINABALU, PENAMPANG, KENINGAU & TUARAN",18/4/2020,4/3/2020,highRisk,ended,0,35,0,1463,0,0,35,,
"KLUSTER PESANTREN MAGETAN, JAWA TIMUR"," Melaka,Negeri Sembilan,Selangor,Sarawak,W.P. Putrajaya","PUTRAJAYA, MELAKA TENGAH, SEREMBAN, KUCHING & SEPANG",19/4/2020,19/4/2020,import,ended,0,238,0,400,0,0,238,,
KLUSTER SEKSYEN 6 BANGI,Selangor,HULU LANGAT,21/4/2020,17/3/2020,community,ended,0,31,0,301,0,2,29,,
KLUSTER PENGERANG,"Johor, Selangor","KOTA TINGGI, HULU LANGAT & PETALING",22/4/2020,23/3/2020,highRisk,ended,0,15,0,176,0,1,14,,
KLUSTER PASAR CHOW KIT,"Selangor,W.P. Kuala Lumpur","TITIWANGSA, GOMBAK & HULU LANGAT",28/4/2020,4/2/2020,workplace,ended,0,90,0,3829,0,0,90,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR HARIAN SELAYANG,"Selangor,W.P. Kuala Lumpur","KEPONG, CHERAS & GOMBAK",28/4/2020,23/3/2020,religious,ended,0,6,0,243,0,0,6,,
KLUSTER SELAYANG BARU,Selangor,GOMBAK,30/4/2020,28/4/2020,community,ended,0,52,0,3802,0,0,52,,
KLUSTER PUI ITALI,Sarawak,KUCHING,4/5/2020,20/3/2020,import,ended,0,65,0,629,0,5,60,,
KLUSTER BAH TANJUNG,Terengganu,KUALA NERUS,10/5/2020,10/6/2020,community,ended,0,8,0,230,0,0,8,,
KLUSTER JERAM,Kedah,KUBANG PASU,10/5/2020,18/10/2020,highRisk,ended,0,5,0,351,0,0,5,,
KLUSTER BAH SINTOK,"Kedah,Negeri Sembilan,Selangor","KUBANG PASU, SEREMBAN & GOMBAK",10/5/2020,20/10/2020,community,ended,0,50,0,491,0,0,50,,
KLUSTER SUTERA,Sabah,KOTA KINABALU & PUTATAN,11/5/2020,12/9/2020,workplace,ended,0,126,0,274,0,0,126,,
KLUSTER DANAU,W.P. Kuala Lumpur,TITIWANGSA,11/5/2020,22/11/2020,community,ended,0,18,0,1692,0,0,18,,
KLUSTER INTAN,"Kedah,Pulau Pinang","TIMUR LAUT, BARAT DAYA,SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH, KUALA MUDA, SIK, PADANG TERAP, KULIM & SUNGAI PETANI",11/5/2020,29/11/2020,workplace,ended,0,207,0,2871,0,0,207,,
KLUSTER TAMAR,Selangor,PETALING,11/5/2020,29/11/2020,workplace,ended,0,20,0,137,0,0,20,,
KLUSTER PASAR BARU,"Selangor,W.P. Putrajaya","KLANG, KUALA LANGAT, PETALING & PUTRAJAYA",11/5/2020,22/1/2021,workplace,ended,0,573,0,2088,0,0,573,,
KLUSTER RIA-30,Sabah,TUARAN,11/5/2020,1/8/2021,community,ended,0,783,0,6946,0,0,783,,
KLUSTER BATU TIGA,Sabah,TAWAU,12/5/2020,12/12/2020,workplace,ended,0,33,0,73,0,0,33,,
KLUSTER TAPAK BINA BULATAN,"Selangor,W.P. Kuala Lumpur","CHERAS, TITIWANGSA, LEMBAH PANTAI & GOMBAK",12/5/2020,18/12/2020,workplace,ended,0,198,0,320,0,0,198,,
KLUSTER ANDALAS,Selangor,"KLANG, SEPANG & PETALING",12/5/2020,19/12/2020,highRisk,ended,0,36,0,48,0,0,36,,
KLUSTER JALAN DOMIS,Sabah,"PENAMPANG, KOTA KINABALU & TONGOD",12/5/2020,22/12/2020,community,ended,0,78,0,315,0,1,77,,
KLUSTER BENUS,Pahang,BENTONG,13/5/2020,5/11/2020,community,ended,0,5,0,780,0,0,5,,
KLUSTER IPT SABAH,Sabah,KOTA KINABALU,13/5/2020,5/12/2020,community,ended,0,3,0,1443,0,0,3,,
"KLUSTER MADRASAH BAROKATUL QODIRI, SOLOK DUKU",Melaka,ALOR GAJAH,14/5/2020,5/3/2020,religious,ended,0,4,0,131,0,0,4,,
KLUSTER PUDU,W.P. Kuala Lumpur,CHERAS & LEMBAH PANTAI,18/5/2020,5/10/2020,community,ended,0,80,0,3387,0,0,80,,
KLUSTER PASAR KAJANG,Selangor,HULU LANGAT,21/5/2020,20/5/2020,workplace,ended,0,5,0,277,0,0,5,,
KLUSTER DTI BUKIT JALIL,"Negeri Sembilan,Selangor,W.P. Kuala Lumpur","CHERAS, KEPONG & PORT DICKSON",21/5/2020,8/11/2020,detentionCentre,ended,0,653,0,1662,0,0,653,,
KLUSTER DTI SEMENYIH,Selangor,HULU LANGAT,23/5/2020,23/5/2020,detentionCentre,ended,0,66,0,1785,0,0,66,,
KLUSTER DTI SEPANG,Selangor,SEPANG,25/5/2020,24/5/2020,detentionCentre,ended,0,72,0,1477,0,0,72,,
KLUSTER TAPAK PEMBINAAN KUALA LUMPUR 2,W.P. Kuala Lumpur,LEMBAH PANTAI,25/5/2020,24/5/2020,workplace,ended,0,73,0,354,0,0,73,,
KLUSTER SYARIKAT PEMBERSIHAN," Negeri Sembilan,Selangor","KUALA LANGAT, SEPANG & SEREMBAN",29/5/2020,28/5/2020,workplace,ended,0,34,0,379,0,0,34,,
KLUSTER DTSI PUTRAJAYA,"W.P. Kuala Lumpur,W.P. Putrajaya",PUTRAJAYA,30/5/2020,30/5/2020,detentionCentre,ended,0,2,0,137,0,0,2,,
KLUSTER SYARIKAT PEMBINAAN JALAN MARAN,Pahang,MARAN,31/5/2020,31/5/2020,workplace,ended,0,2,0,48,0,0,2,,
KLUSTER LADANG BERA,Pahang,BERA,31/5/2020,31/5/2020,workplace,ended,0,7,0,65,0,0,7,,
KLUSTER KILANG PAPAN MARAN,Pahang,MARAN,31/5/2020,31/5/2020,workplace,ended,0,6,0,242,0,0,6,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,"Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Perak,Selangor,W.P. Kuala Lumpur,W.P. Putrajaya",PELBAGAI,4/6/2020,14/3/2020,religious,ended,0,159,0,938,0,0,159,,
KLUSTER PERSIDANGAN GEREJA GNF,Sarawak,"KUCHING, SAMARAHAN & SERIAN",4/6/2020,15/3/2020,religious,ended,0,191,0,6991,0,3,188,,
KLUSTER TAPAK PEMBINAAN SETIA ALAM,Selangor,PETALING,5/6/2020,5/8/2020,workplace,ended,0,15,0,1152,0,0,15,,
KLUSTER SYARIKAT PEMBERSIHAN KUALA LUMPUR,"Selangor,W.P. Kuala Lumpur",TITIWANGSA & HULU LANGAT ,6/6/2020,6/6/2020,workplace,ended,0,4,0,36,0,0,4,,
KLUSTER TEDUH,Sabah,LAHAD DATU,10/6/2020,12/2/2020,community,ended,0,53,0,2799,0,0,53,,
KLUSTER BATU,Perak,LARUT MATANG & SELAMA ,10/6/2020,10/5/2020,community,ended,0,7,0,1174,0,0,7,,
KLUSTER RAMAI-RAMAI,Sabah,SANDAKAN,10/6/2020,11/5/2020,workplace,ended,0,278,0,801,0,1,277,,
KLUSTER FORES,"Selangor,W.P. Kuala Lumpur","GOMBAK, PETALING, KLANG & KEPONG",11/6/2020,11/6/2020,workplace,ended,0,21,0,190,0,0,21,,
KLUSTER MAMPULUT,Sabah,KENINGAU,11/6/2020,25/11/2020,community,ended,0,101,0,734,0,0,101,,
KLUSTER RENGAS,"Kedah,Pulau Pinang,Perak","KUALA KANGSAR, LARUT MATANG, SELAMA, KERIAN, SEBERANG PERAI SELATAN & KULIM",11/6/2020,25/11/2020,education,ended,0,136,0,991,0,0,136,,
KLUSTER PULAU BERHALA,Sabah,SANDAKAN,12/6/2020,1/2/2021,community,ended,0,65,0,360,0,0,65,,
KLUSTER JALAN TAMPOI,"Johor,Terengganu","JOHOR BAHRU, KULAI, PONTIAN & KUALA TERENGGANU",12/6/2020,1/2/2021,workplace,ended,0,141,0,701,0,0,141,,
KLUSTER CERAM," Negeri Sembilan,Pahang ,Selangor","SEREMBAN, JELEBU, PORT DICKSON, SEPANG, PETALING & ROMPIN",12/6/2020,2/4/2021,workplace,ended,0,1027,0,3498,0,0,1027,,
KLUSTER WARGA EMAS KUALA SELANGOR,Selangor,KUALA SELANGOR,15/6/2020,17/5/2020,highRisk,ended,0,8,0,69,0,0,8,,
KLUSTER MDR,Sabah,"KOTA KINABALU, PENAMPANG & TUARAN",17/6/2020,6/12/2020,highRisk,ended,0,5,0,113,0,1,4,,
KLUSTER TAPAK PEMBINAAN KUCHING,Sarawak,KUCHING,18/6/2020,17/6/2020,workplace,ended,0,3,0,315,0,0,3,,
KLUSTER KIDURONG,Sarawak,BINTULU,19/6/2020,13/6/2020,community,ended,0,8,0,200,0,0,8,,
KLUSTER LANJUT,Selangor,SEPANG,20/6/2020,6/7/2020,community,ended,0,5,0,30,0,0,5,,
KLUSTER BUKIT BINTANG,"Selangor,W.P. Kuala Lumpur",LEMBAH PANTAI & GOMBAK,24/6/2020,15/6/2020,community,ended,0,11,0,304,0,0,11,,
KLUSTER KONDOMINIUM HULU LANGAT,Selangor,HULU LANGAT,24/6/2020,6/10/2020,community,ended,0,3,0,69,0,0,3,,
KLUSTER SYARIKAT PEMBINAAN KUCHING,Sarawak,KUCHING,24/6/2020,7/12/2020,workplace,ended,0,2,0,91,0,0,2,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER BANDAR BARU IBRAHIM MAJID & KAWASAN SEKITAR,Johor,KLUANG,4/7/2020,13/3/2020,religious,ended,0,193,0,2384,0,4,189,,
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MENARA PLAZA CITY ONE,W.P. Kuala Lumpur,LEMBAH PANTAI,4/7/2020,19/3/2020,religious,ended,0,55,0,1986,0,1,54,,
KLUSTER PENGAWAL KESELAMATAN CHERAS,"Selangor,W.P. Kuala Lumpur","HULU LANGAT, CHERAS & TITIWANGSA",5/7/2020,5/1/2020,workplace,ended,0,39,0,906,0,0,39,,
KLUSTER GOMBAK,"Selangor,W.P. Kuala Lumpur",GOMBAK & TITIWANGSA,6/7/2020,19/5/2020,community,ended,0,5,0,207,0,0,5,,
KLUSTER SUNGAI,"Kedah,Perlis","KOTA SETAR, KUBANG PASU, POKOK SENA & KANGAR",9/7/2020,10/4/2020,highRisk,ended,0,101,0,25406,0,1,100,,
KLUSTER PENJARA REMAN,"Kedah,Pulau Pinang","TIMUR LAUT, BARAT DAYA, SEBERANG PERAI UTARA & KULIM",10/7/2020,12/3/2020,detentionCentre,ended,0,524,0,2979,0,1,523,,
KLUSTER BAH PUCHONG,"Perak, Selangor, W.P. Kuala Lumpur","KLANG, PETALING, KINTA, LARUT MATANG, SELAMA & TITIWANGSA ",10/7/2020,10/9/2020,community,ended,0,14,0,88,0,0,14,,
KLUSTER MAHKOTA,"Selangor,Sarawak,W.P. Kuala Lumpur,W.P. Putrajaya","HULU LANGAT, KEPONG, TITIWANGSA, PUTRAJAYA & SIBU",11/7/2020,11/10/2020,community,ended,0,10,0,64,0,0,10,,
KLUSTER SOFTWOOD LD,Sabah,LAHAD DATU,11/7/2020,20/11/2020,workplace,ended,0,16,0,144,0,0,16,,
KLUSTER TERATAI,"Negeri Sembilan,Selangor,Terengganu,W.P. Kuala Lumpur,W.P. Putrajaya","KLANG, KUALA SELANGOR, PETALING, HULU LANGAT, GOMBAK, HULU SELANGOR, SEPANG, KUALA LANGAT, KUALA SELANGOR, KEPONG, SABAK BERNAM, CHERAS, TITIWANGSA, PUTRAJAYA, KUALA TERENGGANU, SEREMBAN",11/7/2020,19/3/2021,workplace,ended,0,7205,0,10426,0,1,7204,,
KLUSTER TAPAK BINA DAMANLELA,"Selangor,Terengganu,W.P. Kuala Lumpur","KEPONG, TITIWANGSA, LEMBAH PANTAI, GOMBAK, KUALA SELANGOR, PETALING, CHERAS, HULU LANGAT, HULU SELANGOR, KLANG, SEPANG, KUALA LANGAT & KUALA NERUS",11/7/2020,2/12/2021,workplace,ended,0,2785,0,4534,0,0,2785,,
KLUSTER MALAWATI,Selangor,KUALA SELANGOR,12/7/2020,18/12/2020,workplace,ended,0,16,0,145,0,0,16,,
KLUSTER JALAN RUSA,W.P. Kuala Lumpur,CHERAS,12/7/2020,25/12/2020,community,ended,0,154,0,1267,0,0,154,,
KLUSTER TAPAK BINA AWAN LEMBAH,"Selangor,W.P. Kuala Lumpur","LEMBAH PANTAI, TITIWANGSA, KEPONG, KLANG & KUALA LANGAT",12/7/2020,1/5/2021,workplace,ended,0,106,0,474,0,0,106,,
KLUSTER PUI NOVGOROD,"Melaka,Selangor",ALOR GAJAH & SEPANG,13/7/2020,7/7/2020,import,ended,0,6,0,31,0,0,6,,
KLUSTER MAMBONG,Sarawak,KUCHING & SAMARAHAN,16/7/2020,15/7/2020,workplace,ended,0,7,0,293,0,0,7,,
KLUSTER JUPITER,Sarawak,BINTULU,17/7/2020,13/7/2020,import,ended,0,3,0,35,0,0,3,,
KLUSTER PUI SHIRALA,"W.P. Kuala Lumpur,W.P. Putrajaya",LEMBAH PANTAI,17/7/2020,15/7/2020,import,ended,0,2,0,3,0,0,2,,
KLUSTER PUSAT PERUBATAN KUCHING,Sarawak,KUCHING,17/7/2020,15/7/2020,highRisk,ended,0,3,0,28,0,0,3,,
KLUSTER PUI PITAKWA,Terengganu,KEMAMAN,17/7/2020,16/7/2020,import,ended,0,3,0,46,0,0,3,,
KLUSTER PASAR STUTONG,Sarawak,KUCHING,18/7/2020,18/7/2020,workplace,ended,0,7,0,586,0,0,7,,
KLUSTER RESTORAN KUALA LUMPUR,W.P. Kuala Lumpur,LEMBAH PANTAI,19/7/2020,7/6/2020,workplace,ended,0,2,0,584,0,0,2,,
KLUSTER JETI KUCHING,Sarawak,KUCHING,19/7/2020,16/7/2020,workplace,ended,0,2,0,25,0,0,2,,
KLUSTER RUMAH KONGSI SEPANG,Selangor,SEPANG,19/7/2020,17/7/2020,community,ended,0,3,0,96,0,0,3,,
KLUSTER WARGA EMAS KLUANG,Johor,KLUANG ,20/7/2020,19/7/2020,highRisk,ended,0,18,0,62,0,1,17,,
